0,287757657,ND
64,461814412,MO
55,461814412,MO
54,461814412,MO
48,461814412,MO
14,461814412,MO
63,461814412,MO
79,461814412,MO
72,461814412,MO
1,461814412,MO
10,422427451,WA
82,468532834,AZ
11,468532834,AZ
52,468532834,AZ
72,468532834,AZ
68,468532834,AZ
18,468532834,AZ
80,468532834,AZ
45,386112762,AK
67,386112762,AK
87,386112762,AK
78,386112762,AK
92,386112762,AK
18,386112762,AK
31,502447086,MI
110,502447086,MI
24,502447086,MI
59,360863432,WI
111,360863432,WI
54,360863432,WI
94,360863432,WI
27,360863432,WI
78,360863432,WI
33,360863432,WI
56,360863432,WI
108,360863432,WI
90,520244226,VA
105,520244226,VA
102,520244226,VA
78,520244226,VA
36,520244226,VA
41,668084201,TN
76,668084201,TN
50,668084201,TN
132,121465025,WI
44,121465025,WI
100,121465025,WI
114,121465025,WI
106,121465025,WI
134,362028417,IN
93,362028417,IN
63,362028417,IN
145,362028417,IN
137,362028417,IN
49,362028417,IN
119,362028417,IN
111,362028417,IN
57,624020510,MN
139,624020510,MN
127,182221061,NY
59,182221061,NY
125,182221061,NY
104,182221061,NY
105,182221061,NY
96,182221061,NY
109,182221061,NY
149,713461786,NY
125,713461786,NY
66,713461786,NY
103,713461786,NY
110,713461786,NY
103,703377785,LA
73,703377785,LA
71,703377785,LA
154,460625236,CA
74,460625236,CA
151,460625236,CA
141,460625236,CA
131,460625236,CA
79,363527107,OR
86,363527107,OR
81,364636686,MA
159,364636686,MA
96,364636686,MA
123,364636686,MA
147,364636686,MA
148,364636686,MA
86,364636686,MA
144,364636686,MA
108,787312138,TN
89,787312138,TN
114,505606320,TX
115,505606320,TX
160,505606320,TX
143,505606320,TX
138,505606320,TX
186,505606320,TX
115,505606320,TX
124,505606320,TX
91,505606320,TX
